,lastPrice,tick_volume,bidPrice1,askPrice1,bidPrice1_change,askPrice1_change,bidVolume1,askVolume1,bid_vol_change,ask_vol_change,buy_tick_volume,sell_tick_volume,buy_minus_sell_volume,updateTime
24408,50290.0,2.0,50290.0,50300.0,0.0,0.0,7.0,37.0,-1.0,5.0,0.0,2.0,-2.0,09:45:23
24409,50290.0,0.0,50290.0,50300.0,0.0,0.0,8.0,37.0,1.0,0.0,0.0,-0.0,0.0,09:45:24
24410,50290.0,0.0,50290.0,50300.0,0.0,0.0,9.0,37.0,1.0,0.0,0.0,-0.0,0.0,09:45:25
24411,50290.0,0.0,50290.0,50300.0,0.0,0.0,9.0,37.0,0.0,0.0,0.0,-0.0,0.0,09:45:26
24412,50290.0,4.0,50290.0,50300.0,0.0,0.0,7.0,37.0,-2.0,0.0,0.0,4.0,-4.0,09:45:26
24413,50290.0,2.0,50290.0,50300.0,0.0,0.0,7.0,37.0,0.0,0.0,0.0,2.0,-2.0,09:45:27
24414,50290.0,0.0,50290.0,50300.0,0.0,0.0,7.0,37.0,0.0,0.0,0.0,-0.0,0.0,09:45:27
24415,50300.0,6.0,50290.0,50300.0,0.0,0.0,8.0,34.0,1.0,-3.0,6.0,-0.0,6.0,09:45:28
24416,50300.0,0.0,50290.0,50300.0,0.0,0.0,17.0,30.0,9.0,-4.0,0.0,-0.0,0.0,09:45:28
24417,50300.0,0.0,50290.0,50300.0,0.0,0.0,17.0,30.0,0.0,0.0,0.0,-0.0,0.0,09:45:29
24418,50300.0,0.0,50290.0,50300.0,0.0,0.0,17.0,33.0,0.0,3.0,0.0,-0.0,0.0,09:45:30
24419,50300.0,0.0,50290.0,50300.0,0.0,0.0,13.0,33.0,-4.0,0.0,0.0,-0.0,0.0,09:45:31
24420,50300.0,0.0,50290.0,50300.0,0.0,0.0,11.0,37.0,-2.0,4.0,0.0,-0.0,0.0,09:45:31
24421,50300.0,0.0,50290.0,50300.0,0.0,0.0,21.0,35.0,10.0,-2.0,0.0,-0.0,0.0,09:45:32
24422,50300.0,0.0,50290.0,50300.0,0.0,0.0,25.0,31.0,4.0,-4.0,0.0,-0.0,0.0,09:45:32
24423,50300.0,0.0,50290.0,50300.0,0.0,0.0,26.0,31.0,1.0,0.0,0.0,-0.0,0.0,09:45:33
24424,50300.0,0.0,50290.0,50300.0,0.0,0.0,26.0,31.0,0.0,0.0,0.0,-0.0,0.0,09:45:33
24425,50300.0,52.0,50290.0,50300.0,0.0,0.0,26.0,5.0,0.0,-26.0,52.0,-0.0,52.0,09:45:34
24426,50300.0,10.0,50300.0,50310.0,1.0,1.0,43.0,43.0,0.0,0.0,10.0,0.0,10.0,09:45:34
24427,50300.0,84.0,50290.0,50300.0,-1.0,-1.0,32.0,19.0,0.0,0.0,0.0,84.0,-84.0,09:45:35
24428,50300.0,30.0,50290.0,50300.0,0.0,0.0,43.0,6.0,11.0,-13.0,30.0,-0.0,30.0,09:45:35
24429,50300.0,12.0,50300.0,50310.0,1.0,1.0,7.0,40.0,0.0,0.0,12.0,0.0,12.0,09:45:36
