,lastPrice,tick_volume,bidPrice1,askPrice1,bidPrice1_change,askPrice1_change,bidVolume1,askVolume1,bid_vol_change,ask_vol_change,buy_tick_volume,sell_tick_volume,buy_minus_sell_volume,updateTime,1min sum(N),2min sum(N),,
10149,11870,42,11870,11875,0,0,23,25,16,-1,22,20,2,22:26:27,1434,1480,1278,5922
10150,11870,32,11870,11875,0,0,38,16,15,-9,14,18,-4,22:26:27,1590,1638,1364,6509.6
10151,11875,46,11875,11880,1,1,34,72,0,0,46,0,46,22:26:28,1590,1634,1358,6498.8
10152,11875,256,11870,11875,-1,-1,107,39,0,0,0,256,-256,22:26:28,1574,1652,1338,6468.4
10153,11875,136,11875,11880,1,1,73,80,0,0,136,0,136,22:26:29,1604,1696,1392,6635.2
10154,11880,206,11870,11880,-1,0,95,75,0,-5,0,206,-206,22:26:29,1326,1456,1184,5583.2
10155,11870,48,11870,11880,0,0,86,92,-9,17,16,32,-16,22:26:30,1460,1592,1412,6242.4
10156,11875,24,11870,11875,0,-1,95,7,9,0,10,14,-4,22:26:30,1230,1386,1244,5367.2
10157,11875,16,11870,11875,0,0,97,51,2,44,14,2,12,22:26:31,1206,1364,1238,5286.8
10158,11875,48,11870,11875,0,0,93,45,-4,-6,46,2,44,22:26:31,1106,1356,1378,5217.2
10159,11875,216,11875,11880,1,1,29,98,0,0,216,0,216,22:26:32,1034,1284,1380,4988.8
10160,11875,56,11875,11880,0,0,44,78,15,-20,48,8,40,22:26:32,1078,1266,1522,5197.2
10161,11875,28,11875,11880,0,0,63,73,19,-5,14,14,0,22:26:33,1294,1460,1774,6114
10162,11875,4,11875,11880,0,0,68,74,5,1,0,4,-4,22:26:33,1360,1484,1884,6384.8
10163,11880,34,11875,11880,0,0,77,62,9,-12,34,0,34,22:26:34,1366,1484,2062,6574.8
10164,11875,140,11880,11885,1,1,1,215,0,0,140,0,140,22:26:34,1364,1478,2016,6517.6
10165,11880,26,11880,11885,0,0,9,219,8,4,0,26,-26,22:26:35,1398,1500,1994,6590
10166,11880,56,11875,11880,-1,-1,65,21,0,0,0,56,-56,22:26:35,1516,1636,2096,7091.2
10167,11880,48,11875,11880,0,0,61,18,-4,-3,34,14,20,22:26:36,1492,1612,2108,7026.4
10168,11885,110,11880,11885,1,1,1,225,0,0,110,0,110,22:26:36,1432,1562,2068,6806.4
10169,11880,42,11880,11885,0,0,7,226,6,1,0,42,-42,22:26:37,1454,1582,1880,6686.4
10170,11880,52,11875,11880,-1,-1,48,36,0,0,0,52,-52,22:26:37,1566,1712,2140,7326.4
10171,11880,96,11875,11880,0,0,52,1,4,-35,86,10,76,22:26:38,1518,1670,2118,7158
10172,11880,8,11880,11885,1,1,52,229,0,0,8,0,8,22:26:38,1464,1618,2084,6953.6
10173,11880,50,11880,11885,0,0,41,221,-11,-8,16,34,-18,22:26:39,1542,1684,2148,7252.8
10174,11880,18,11880,11885,0,0,39,215,-2,-6,12,6,6,22:26:39,1544,1688,2068,7181.6
10175,11880,42,11880,11885,0,0,27,215,-12,0,2,40,-38,22:26:40,1530,1638,2118,7143.6
10176,11880,54,11880,11885,0,0,33,196,6,-19,40,14,26,22:26:40,1538,1606,2008,7011.2
10177,11880,42,11880,11885,0,0,27,191,-6,-5,16,26,-10,22:26:41,1498,1570,1760,6640
10178,11880,48,11880,11885,0,0,4,189,-23,-2,6,42,-36,22:26:41,1522,1594,1786,6742.8
10179,11880,30,11875,11880,-1,-1,67,49,0,0,0,30,-30,22:26:42,1510,1584,1780,6700.8
10180,11880,180,11875,11880,0,0,66,3,-1,-46,180,0,180,22:26:42,1468,1542,1722,6508.4
10181,11885,68,11880,11885,1,1,39,178,0,0,68,0,68,22:26:43,1388,1502,1720,6298.4
10182,11880,16,11880,11885,0,0,40,178,1,0,4,12,-8,22:26:43,1564,1688,1914,7067.6
10183,11880,14,11880,11885,0,0,35,179,-5,1,0,14,-14,22:26:44,1630,1734,1988,7328.8
10184,11885,8,11880,11885,0,0,38,178,3,-1,4,4,0,22:26:44,1616,1714,1890,7178.8
10185,11880,76,11880,11885,0,0,21,162,-17,-16,40,36,4,22:26:45,1590,1678,1880,7073.6
10186,11885,46,11880,11885,0,0,27,142,6,-20,44,2,42,22:26:45,1566,1684,1942,7094.8
10187,11880,6,11880,11885,0,0,35,139,8,-3,0,6,-6,22:26:46,1520,1682,1906,6964.4
10188,11885,110,11880,11885,0,0,18,106,-17,-33,70,40,30,22:26:46,1432,1596,1960,6739.2
10189,11880,12,11880,11885,0,0,38,102,20,-4,10,2,8,22:26:47,1424,1568,1956,6685.6
10190,11885,30,11880,11885,0,0,40,94,2,-8,22,8,14,22:26:47,1446,1566,1992,6763.2
10191,11885,194,11885,11890,1,1,97,67,0,0,194,0,194,22:26:48,1498,1578,1954,6843.6
10192,11890,44,11885,11890,0,0,204,50,107,-17,38,6,32,22:26:48,1524,1592,1910,6868.4
10193,11890,142,11890,11895,1,1,22,51,0,0,142,0,142,22:26:49,1760,1778,2144,7797.6
10194,11890,102,11890,11895,0,0,37,17,15,-34,76,26,50,22:26:49,1790,1804,2224,7968.8
10195,11890,90,11890,11895,0,0,42,20,5,3,78,12,66,22:26:50,1976,1950,2362,8654
10196,11895,40,11890,11895,0,0,46,39,4,19,38,2,36,22:26:50,2086,1924,2408,8888.8
10197,11890,100,11890,11895,0,0,38,19,-8,-20,90,10,80,22:26:51,2174,1980,2472,9196
10198,11890,18,11890,11895,0,0,38,17,0,-2,8,10,-2,22:26:51,2202,2046,2510,9369.2
10199,11895,18,11890,11895,0,0,38,13,0,-4,14,4,10,22:26:52,2266,2238,2564,9781.6
10200,11895,30,11890,11895,0,0,36,29,-2,16,22,8,14,22:26:52,2216,2318,2578,9791.6
10201,11895,150,11895,11900,1,1,21,144,0,0,150,0,150,22:26:53,2204,2338,2586,9799.6
10202,11900,196,11895,11900,0,0,47,143,26,-1,20,176,-156,22:26:53,2212,2350,2592,9836
10203,11895,166,11895,11900,0,0,3,143,-44,0,0,166,-166,22:26:54,2456,2496,2884,10791.2
10204,11895,144,11890,11895,-1,-1,25,61,0,0,0,144,-144,22:26:54,2300,2288,2724,10069.6
10205,11895,42,11890,11895,0,0,23,51,-2,-10,22,20,2,22:26:55,2114,2116,2574,9341.2
10206,11890,98,11890,11895,0,0,8,63,-15,12,50,48,2,22:26:55,1970,1972,2418,8724.4
10207,11890,98,11885,11890,-1,-1,37,2,0,0,0,98,-98,22:26:56,1966,1974,2416,8716.8
10208,11895,34,11890,11895,1,1,9,66,0,0,34,0,34,22:26:56,1962,1968,2416,8701.6
10209,11890,192,11885,11890,-1,-1,3,12,0,0,0,192,-192,22:26:57,1822,1876,2230,8125.2
10210,11890,38,11885,11890,0,0,13,48,10,36,14,24,-10,22:26:57,1822,1904,2248,8176.8
10211,11890,18,11885,11890,0,0,39,50,26,2,18,0,18,22:26:58,1612,1700,2060,7324
10212,11890,50,11885,11890,0,0,45,15,6,-35,40,10,30,22:26:58,1602,1682,2034,7256.4
10213,11890,60,11885,11890,0,0,41,2,-4,-13,30,30,0,22:26:59,1620,1700,2072,7352
10214,11890,12,11890,11895,1,1,6,61,0,0,12,0,12,22:26:59,1656,1736,2124,7519.2
10215,11895,12,11890,11895,0,0,37,64,31,3,10,2,8,22:27:00,1666,1710,2190,7574
10216,11890,32,11890,11895,0,0,30,61,-7,-3,8,24,-16,22:27:00,1710,1722,2108,7594.4
10217,11895,74,11890,11895,0,0,5,71,-25,10,0,74,-74,22:27:01,1718,1732,2078,7592.4
10218,11890,18,11885,11890,-1,-1,41,50,0,0,0,18,-18,22:27:01,1706,1724,2106,7586.8
10219,11890,24,11885,11890,0,0,35,225,-6,175,24,0,24,22:27:02,1628,1766,2122,7497.2
10220,11885,92,11880,11885,-1,-1,73,16,0,0,0,92,-92,22:27:02,1608,1768,2100,7437.6
10221,11885,94,11880,11890,0,1,70,231,-3,0,94,0,94,22:27:03,1592,1800,2120,7464
10222,11890,26,11880,11890,0,0,80,234,10,3,19,7,12,22:27:03,1506,1704,2006,7062.8
10223,11890,8,11880,11890,0,0,100,222,20,-12,5,3,2,22:27:04,1578,1804,2082,7402.8
10224,11885,8,11880,11885,0,-1,101,2,1,0,1,7,-6,22:27:04,1562,1814,2042,7342.8
10225,11880,14,11880,11885,0,0,102,17,1,15,12,2,10,22:27:05,1554,1812,2046,7328.4
10226,11885,12,11880,11885,0,0,100,29,-2,12,10,2,8,22:27:05,1480,1806,1988,7115.2
10227,11885,6,11880,11885,0,0,97,28,-3,-1,6,0,6,22:27:06,1468,1844,1892,7040.8
10228,11880,4,11880,11885,0,0,96,51,-1,23,0,4,-4,22:27:06,1610,1866,1958,7417.2
10229,11885,12,11880,11885,0,0,89,54,-7,3,2,10,-8,22:27:07,1680,1856,1996,7583.2
10230,11880,8,11880,11885,0,0,86,59,-3,5,2,6,-4,22:27:07,1652,1858,1976,7509.6
10231,11885,22,11880,11885,0,0,79,63,-7,4,8,14,-6,22:27:08,1592,1884,1958,7402.8
10232,11880,20,11880,11885,0,0,69,75,-10,12,0,20,-20,22:27:08,1638,1896,1958,7509.2
10233,11880,140,11875,11885,-1,0,50,82,0,7,2,138,-136,22:27:09,1570,1910,1942,7374
10234,11880,10,11875,11880,0,-1,46,2,-4,0,5,5,0,22:27:09,1518,1962,1918,7308.4
10235,11880,50,11880,11885,1,1,6,88,0,0,50,0,50,22:27:10,1398,1852,1860,6878.4
10236,11880,24,11880,11885,0,0,1,86,-5,-2,0,24,-24,22:27:10,1350,1850,1896,6816
10237,11880,22,11875,11880,-1,-1,76,15,0,0,0,22,-22,22:27:11,1360,1902,1958,6960.4
10238,11880,8,11875,11880,0,0,74,31,-2,16,6,2,4,22:27:11,1402,1886,1916,6983.2
10239,11880,18,11875,11880,0,0,64,38,-10,7,14,4,10,22:27:12,1378,1872,1874,6876.4
10240,11880,8,11875,11880,0,0,66,55,2,17,8,0,8,22:27:12,1280,1888,1910,6735.6
10241,11880,10,11875,11880,0,0,61,73,-5,18,2,8,-6,22:27:13,1284,1898,1868,6713.6
10242,11880,0,11875,11880,0,0,44,81,-17,8,0,0,0,22:27:13,1284,1882,1614,6440.4
10243,11875,8,11875,11880,0,0,40,82,-4,1,0,8,-8,22:27:14,1212,1764,1478,6018.8
10244,11880,4,11875,11880,0,0,40,81,0,-1,2,2,0,22:27:14,1154,1794,1336,5796.8
10245,11880,0,11875,11880,0,0,40,86,0,5,0,0,0,22:27:15,1092,1784,1332,5656.8
10246,11875,38,11875,11880,0,0,38,71,-2,-15,32,6,26,22:27:15,1076,1784,1334,5626.8
10247,11880,16,11875,11880,0,0,39,77,1,6,2,14,-12,22:27:16,1094,1784,1418,5746.8
10248,11880,0,11875,11880,0,0,45,81,6,4,0,0,0,22:27:16,964,1824,1446,5562.8
10249,11875,26,11875,11880,0,0,42,73,-3,-8,20,6,14,22:27:17,1076,1818,1414,5747.6
10250,11875,2,11875,11880,0,0,44,73,2,0,0,2,-2,22:27:17,1046,1942,1418,5840.4
10251,11875,4,11875,11880,0,0,42,79,-2,6,0,4,-4,22:27:18,1034,1986,1436,5887.2
10252,11875,0,11875,11880,0,0,42,83,0,4,0,0,0,22:27:18,1112,1974,1424,6016.8
10253,11880,56,11875,11880,0,0,38,62,-4,-21,44,12,32,22:27:19,1068,1960,1416,5904
10254,11880,6,11875,11880,0,0,39,61,1,-1,4,2,2,22:27:19,1036,1940,1400,5800
10255,11875,16,11875,11880,0,0,36,61,-3,0,0,16,-16,22:27:20,972,1958,1424,5717.6
10256,11875,4,11875,11880,0,0,32,61,-4,0,0,4,-4,22:27:20,942,1958,1406,5639.6
10257,11880,2,11875,11880,0,0,40,61,8,0,2,0,2,22:27:21,906,1940,1322,5462
10258,11880,12,11875,11880,0,0,37,61,-3,0,2,10,-8,22:27:21,824,1936,1322,5293.2
10259,11880,2,11875,11880,0,0,40,61,3,0,2,0,2,22:27:22,762,1940,1326,5178
10260,11880,6,11875,11880,0,0,41,128,1,67,4,2,2,22:27:22,756,1942,1370,5212.4
10261,11880,12,11875,11880,0,0,33,131,-8,3,2,10,-8,22:27:23,702,1958,1364,5117.6
10262,11880,6,11875,11880,0,0,41,141,8,10,2,4,-2,22:27:23,672,1958,1364,5057.6
10263,11880,8,11875,11880,0,0,68,140,27,-1,4,4,0,22:27:24,626,1952,1358,4952.4
10264,11875,2,11875,11880,0,0,78,141,10,1,0,2,-2,22:27:24,570,1948,1354,4831.6
10265,11875,2,11875,11880,0,0,76,238,-2,97,0,2,-2,22:27:25,540,1942,1352,4762.4
10266,11875,8,11875,11880,0,0,73,243,-3,5,0,8,-8,22:27:25,528,1942,1348,4734.4
10267,11875,2,11875,11880,0,0,72,246,-1,3,0,2,-2,22:27:26,530,1942,1340,4730.4
10268,11875,0,11875,11880,0,0,77,247,5,1,0,0,0,22:27:26,550,1934,1294,4714.8
10269,11875,0,11875,11880,0,0,81,248,4,1,0,0,0,22:27:27,496,1930,1284,4592
10270,11880,16,11875,11880,0,0,75,247,-6,-1,2,14,-12,22:27:27,342,1932,1278,4280.4
10271,11875,36,11875,11880,0,0,62,247,-13,0,0,36,-36,22:27:28,340,1930,1276,4272
10272,11875,30,11875,11880,0,0,47,247,-15,0,0,30,-30,22:27:28,332,1906,1246,4197.2
10273,11875,108,11870,11875,-1,-1,39,7,0,0,0,108,-108,22:27:29,250,1854,1198,3922.8
10274,11875,0,11870,11875,0,0,119,18,80,11,0,0,0,22:27:29,476,1802,1162,4276.4
10275,11875,42,11875,11880,1,1,24,263,0,0,42,0,42,22:27:30,232,1692,1058,3552.4
10276,11875,122,11875,11880,0,0,19,261,-5,-2,6,116,-110,22:27:30,438,1668,1040,3917.6
10277,11880,24,11875,11880,0,0,13,260,-6,-1,8,16,-8,22:27:31,496,1702,1072,4106.4
10278,11880,90,11875,11880,0,0,11,221,-2,-39,78,12,66,22:27:31,390,1496,958,3533.2
10279,11875,14,11875,11880,0,0,33,222,22,1,0,14,-14,22:27:32,370,1404,830,3254.8
10280,11875,4,11875,11880,0,0,23,223,-10,1,0,4,-4,22:27:32,392,1470,850,3398
10281,11875,382,11875,11880,0,0,1,79,-22,-144,284,98,186,22:27:33,162,1456,868,2939.2
10282,11875,2,11875,11880,0,0,34,87,33,8,0,2,-2,22:27:33,118,1478,888,2897.6
10283,11880,180,11880,11885,1,1,21,72,0,0,180,0,180,22:27:34,304,1670,1074,3686
10284,11880,6,11880,11885,0,0,87,66,66,-6,0,6,-6,22:27:34,306,1670,1066,3682
10285,11880,14,11880,11885,0,0,83,66,-4,0,0,14,-14,22:27:35,452,1850,1232,4356
10286,11885,4,11880,11885,0,0,95,61,12,-5,2,2,0,22:27:35,306,1822,1198,3996.4
10287,11880,4,11880,11885,0,0,101,59,6,-2,2,2,0,22:27:36,318,1810,1160,3968
10288,11885,8,11880,11885,0,0,99,47,-2,-12,4,4,0,22:27:36,374,1806,1148,4063.2
10289,11885,40,11880,11885,0,0,100,27,1,-20,40,0,40,22:27:37,354,1808,1144,4021.6
10290,11885,60,11885,11890,1,1,66,107,0,0,60,0,60,22:27:37,244,1810,1138,3798
10291,11885,10,11885,11890,0,0,63,107,-3,0,0,10,-10,22:27:38,326,1844,1176,4040.8
10292,11885,0,11885,11890,0,0,65,108,2,1,0,0,0,22:27:38,438,1902,1234,4392.4
10293,11885,0,11885,11890,0,0,65,108,0,0,0,0,0,22:27:39,352,1894,1204,4180.8
10294,11885,12,11885,11890,0,0,60,108,-5,0,0,12,-12,22:27:39,344,1888,1320,4273.6
10295,11890,228,11890,11895,1,1,11,106,0,0,228,0,228,22:27:40,362,1892,1320,4314.4
10296,11890,24,11890,11895,0,0,39,105,28,-1,2,22,-20,22:27:40,344,1882,1304,4250.4
10297,11895,10,11890,11895,0,0,39,102,0,-3,2,8,-6,22:27:41,610,2108,1508,5257.6
10298,11890,24,11890,11895,0,0,31,97,-8,-5,12,12,0,22:27:41,564,2086,1478,5109.2
10299,11890,18,11890,11895,0,0,31,90,0,-7,6,12,-6,22:27:42,568,2078,1424,5053.6
10300,11895,24,11890,11895,0,0,32,76,1,-14,24,0,24,22:27:42,604,2072,1426,5120.4
10301,11895,14,11890,11895,0,0,39,68,7,-8,12,2,10,22:27:43,628,2016,1424,5099.2
10302,11895,18,11890,11895,0,0,37,64,-2,-4,10,8,2,22:27:43,472,2036,1450,4837.2
10303,11890,28,11890,11895,0,0,37,58,0,-6,22,6,16,22:27:44,414,2044,1392,4672.8
