,bidPrice1,bidVolume1,bid_vol_change,buy_tick_volume,askPrice1,askVolume1,ask_vol_change,sell_tick_volume,tick_volume,buy_minus_sell_volume,updateTime
20281,51040.0,3.0,0.0,0.0,51050.0,43.0,1.0,-0.0,0.0,0.0,00:18:25
20282,51040.0,4.0,1.0,0.0,51050.0,42.0,-1.0,-0.0,0.0,0.0,00:18:25
20283,51040.0,4.0,0.0,0.0,51050.0,42.0,0.0,-0.0,0.0,0.0,00:18:26
20284,51040.0,4.0,0.0,0.0,51050.0,42.0,0.0,-0.0,0.0,0.0,00:18:26
20285,51040.0,22.0,18.0,0.0,51050.0,42.0,0.0,-0.0,0.0,0.0,00:18:27
20286,51040.0,22.0,0.0,0.0,51050.0,42.0,0.0,-0.0,0.0,0.0,00:18:27
20287,51040.0,22.0,0.0,0.0,51050.0,42.0,0.0,-0.0,0.0,0.0,00:18:28
20288,51040.0,22.0,0.0,0.0,51050.0,40.0,-2.0,-0.0,0.0,0.0,00:18:28
20289,51040.0,4.0,-18.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:29
20290,51040.0,4.0,0.0,0.0,51050.0,39.0,-1.0,-0.0,0.0,0.0,00:18:30
20291,51040.0,4.0,0.0,0.0,51050.0,40.0,1.0,-0.0,0.0,0.0,00:18:31
20292,51040.0,4.0,0.0,0.0,51050.0,39.0,-1.0,-0.0,0.0,0.0,00:18:32
20293,51040.0,4.0,0.0,0.0,51050.0,47.0,8.0,-0.0,0.0,0.0,00:18:33
20294,51040.0,4.0,0.0,2.0,51050.0,46.0,-1.0,-0.0,2.0,2.0,00:18:34
20295,51040.0,4.0,0.0,0.0,51050.0,45.0,-1.0,-0.0,0.0,0.0,00:18:34
20296,51040.0,4.0,0.0,0.0,51050.0,46.0,1.0,-0.0,0.0,0.0,00:18:36
20297,51040.0,4.0,0.0,0.0,51050.0,47.0,1.0,-0.0,0.0,0.0,00:18:38
20298,51030.0,18.0,0.0,4.0,51050.0,47.0,0.0,4.0,8.0,0.0,00:18:41
20299,51030.0,25.0,7.0,0.0,51050.0,47.0,0.0,-0.0,0.0,0.0,00:18:41
20300,51040.0,9.0,0.0,0.0,51050.0,47.0,0.0,-0.0,0.0,0.0,00:18:42
20301,51040.0,9.0,0.0,0.0,51050.0,45.0,-2.0,-0.0,0.0,0.0,00:18:43
20302,51040.0,9.0,0.0,0.0,51050.0,43.0,-2.0,-0.0,0.0,0.0,00:18:43
20303,51040.0,9.0,0.0,0.0,51050.0,43.0,0.0,-0.0,0.0,0.0,00:18:44
20304,51040.0,9.0,0.0,0.0,51050.0,43.0,0.0,-0.0,0.0,0.0,00:18:45
20305,51040.0,18.0,9.0,0.0,51050.0,43.0,0.0,-0.0,0.0,0.0,00:18:46
20306,51040.0,18.0,0.0,0.0,51050.0,43.0,0.0,-0.0,0.0,0.0,00:18:47
20307,51040.0,36.0,18.0,0.0,51050.0,43.0,0.0,-0.0,0.0,0.0,00:18:48
20308,51040.0,36.0,0.0,0.0,51050.0,42.0,-1.0,-0.0,0.0,0.0,00:18:48
20309,51040.0,36.0,0.0,2.0,51050.0,41.0,-1.0,-0.0,2.0,2.0,00:18:50
20310,51040.0,36.0,0.0,0.0,51050.0,41.0,0.0,-0.0,0.0,0.0,00:18:51
20311,51040.0,36.0,0.0,2.0,51050.0,40.0,-1.0,-0.0,2.0,2.0,00:18:52
20312,51040.0,36.0,0.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:52
20313,51040.0,36.0,0.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:53
20314,51040.0,36.0,0.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:54
20315,51040.0,36.0,0.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:55
20316,51040.0,36.0,0.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:56
20317,51040.0,36.0,0.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:57
20318,51040.0,38.0,2.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:18:57
20319,51040.0,38.0,0.0,0.0,51050.0,40.0,0.0,-0.0,0.0,0.0,00:19:00
20320,51040.0,38.0,0.0,0.0,51050.0,41.0,1.0,-0.0,0.0,0.0,00:19:03
20321,51040.0,38.0,0.0,0.0,51050.0,41.0,0.0,-0.0,0.0,0.0,00:19:04
20322,51040.0,40.0,2.0,0.0,51050.0,42.0,1.0,-0.0,0.0,0.0,00:19:05
20323,51040.0,40.0,0.0,36.0,51050.0,24.0,-18.0,-0.0,36.0,36.0,00:19:05
20324,51040.0,41.0,1.0,26.0,51050.0,11.0,-13.0,-0.0,26.0,26.0,00:19:06
20325,51050.0,13.0,0.0,22.0,51060.0,33.0,0.0,0.0,22.0,22.0,00:19:06
20326,51050.0,13.0,0.0,12.0,51060.0,24.0,-9.0,-0.0,12.0,12.0,00:19:07
20327,51050.0,11.0,-2.0,18.0,51060.0,16.0,-8.0,4.0,22.0,14.0,00:19:07
20328,51050.0,39.0,28.0,4.0,51060.0,14.0,-2.0,-0.0,4.0,4.0,00:19:08
20329,51050.0,75.0,36.0,0.0,51060.0,14.0,0.0,-0.0,0.0,0.0,00:19:08
20330,51050.0,75.0,0.0,8.0,51060.0,9.0,-5.0,-0.0,8.0,8.0,00:19:09
20331,51050.0,75.0,0.0,0.0,51060.0,8.0,-1.0,-0.0,0.0,0.0,00:19:10
20332,51050.0,75.0,0.0,0.0,51060.0,8.0,0.0,-0.0,0.0,0.0,00:19:10
